=== Windows Services ===
Collection Time: 2025-05-21 17:07:34

Name                                          PathName                                                                                                                                                                                                                                                                                                                                                                                                                    StartMode  StartName                    State    Status   
mpssvc                                        C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p                                                                                                                                                                                                                                                                                                                                                         Auto       NT Authority\LocalService    Running  OK       

MSBWindowsService                             "C:\Program Files\Mettl\MSB\Service\SafeExamBrowser.Service.exe"                                                                                                                                                                                                                                                                                                                                                            Auto       LocalSystem                  Running  OK       

MSDTC                                         C:\WINDOWS\System32\msdtc.exe                                                                                                                                                                                                                                                                                                                                                                                               Manual     NT AUTHORITY\NetworkService  Stopped  OK       

MSiSCSI                                       C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

msiserver                                     C:\WINDOWS\system32\msiexec.exe /V                                                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

MySQL80                                       "C:\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe" --defaults-file="C:\ProgramData\MySQL\MySQL Server 8.0\my.ini" MySQL80                                                                                                                                                                                                                                                                                             Auto       NT AUTHORITY\NetworkService  Running  OK       

NativePushService                             "C:\Users\91940\AppData\Local\Wondershare\Wondershare NativePush\WsNativePushService.exe"                                                                                                                                                                                                                                                                                                                                   Auto       LocalSystem                  Running  OK       

NaturalAuthentication                         C:\WINDOWS\system32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

NcaSvc                                        C:\WINDOWS\System32\svchost.exe -k NetSvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

NcbService                                    C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

NcdAutoSetup                                  C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p                                                                                                                                                                                                                                                                                                                                                                 Manual     NT AUTHORITY\LocalService    Stopped  OK       

Netlogon                                      C:\WINDOWS\system32\lsass.exe                                                                                                                                                                                                                                                                                                                                                                                               Auto       LocalSystem                  Stopped  OK       

Netman                                        C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

netprofm                                      C:\WINDOWS\System32\svchost.exe -k netprofm -p                                                                                                                                                                                                                                                                                                                                                                              Manual     NT AUTHORITY\NetworkService  Running  OK       

NetSetupSvc                                                                                                                                                                                                                                                                                                                                                                                                                                                               Unknown                                 Stopped  UNKNOWN  

NetTcpPortSharing                             C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe                                                                                                                                                                                                                                                                                                                                                               Disabled   NT AUTHORITY\LocalService    Stopped  OK       

NgcCtnrSvc                                    C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                         Manual     NT AUTHORITY\LocalService    Running  OK       

NgcSvc                                        C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Running  OK       

NlaSvc                                        C:\WINDOWS\System32\svchost.exe -k netprofm -p                                                                                                                                                                                                                                                                                                                                                                              Manual     NT AUTHORITY\NetworkService  Stopped  OK       

nsi                                           C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Auto       NT Authority\LocalService    Running  OK       

nvagent                                       C:\WINDOWS\system32\svchost.exe -k NetSvcs                                                                                                                                                                                                                                                                                                                                                                                  Manual     LocalSystem                  Running  OK       

NvContainerLocalSystem                        "C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe" -s NvContainerLocalSystem -a -f "C:\ProgramData\NVIDIA\NvContainerLocalSystem.log" -l 3 -d "C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem" -r -p 30000 -st "C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll"                                                                                            Auto       LocalSystem                  Running  OK       

NVDisplay.ContainerLocalSystem                C:\WINDOWS\System32\DriverStore\FileRepository\nvlti.inf_amd64_c9fbd382d75ff6b4\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\WINDOWS\System32\DriverStore\FileRepository\nvlti.inf_amd64_c9fbd382d75ff6b4\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem /ert  Auto       LocalSystem                  Running  OK       

ose                                           "C:\Program Files (x86)\Common Files\Microsoft Shared\Source Engine\OSE.EXE"                                                                                                                                                                                                                                                                                                                                                Manual     LocalSystem                  Stopped  OK       

ose64                                         "c:\Program Files\Common Files\Microsoft Shared\Source Engine\OSE.EXE"                                                                                                                                                                                                                                                                                                                                                      Manual     LocalSystem                  Stopped  OK       

osppsvc                                       "C:\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.EXE"                                                                                                                                                                                                                                                                                                                               Manual     NT AUTHORITY\NetworkService  Stopped  OK       

PcaSvc                                        C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Auto       LocalSystem                  Running  OK       

perceptionsimulation                          C:\WINDOWS\system32\PerceptionSimulation\PerceptionSimulationService.exe                                                                                                                                                                                                                                                                                                                                                    Manual     LocalSystem                  Stopped  OK       

PerfHost                                      C:\WINDOWS\SysWow64\perfhost.exe                                                                                                                                                                                                                                                                                                                                                                                            Manual     NT AUTHORITY\LocalService    Stopped  OK       

PhoneSvc                                      C:\WINDOWS\system32\svchost.exe -k LocalService -p                                                                                                                                                                                                                                                                                                                                                                          Manual     NT Authority\LocalService    Running  OK       

pla                                           C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p                                                                                                                                                                                                                                                                                                                                                                 Manual     NT AUTHORITY\LocalService    Stopped  OK       

PlugPlay                                      C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                                                                                                                                                                                                            Manual     LocalSystem                  Running  OK       

PolicyAgent                                   C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                       Manual     NT Authority\NetworkService  Running  OK       

Power                                         C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                                                                                                                                                                                                            Auto       LocalSystem                  Running  OK       

PrintDeviceConfigurationService               C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

PrintNotify                                   C:\WINDOWS\system32\svchost.exe -k print                                                                                                                                                                                                                                                                                                                                                                                    Manual     LocalSystem                  Stopped  OK       

PrintScanBrokerService                        C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p                                                                                                                                                                                                                                                                                                                                                          Manual     LocalSystem                  Stopped  OK       

ProfSvc                                       C:\WINDOWS\system32\svchost.exe -k UserProfileService -p                                                                                                                                                                                                                                                                                                                                                                    Auto       LocalSystem                  Running  OK       

PushToInstall                                 C:\WINDOWS\System32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     LocalSystem                  Stopped  OK       

QWAVE                                         C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p                                                                                                                                                                                                                                                                                                                                                        Manual     NT AUTHORITY\LocalService    Stopped  OK       

RasAuto                                       C:\WINDOWS\System32\svchost.exe -k netsvcs -p                                                                                                                                                                                                                                                                                                                                                                               Manual     localSystem                  Stopped  OK       

RasMan                                        C:\WINDOWS\System32\svchost.exe -k netsvcs                                                                                                                                                                                                                                                                                                                                                                                  Manual     localSystem                  Running  OK       

refsdedupsvc                                  C:\WINDOWS\System32\ReFsDedupSvc.exe                                                                                                                                                                                                                                                                                                                                                                                        Manual     LocalSystem                  Stopped  OK       

RemoteAccess                                  C:\WINDOWS\System32\svchost.exe -k netsvcs                                                                                                                                                                                                                                                                                                                                                                                  Disabled   localSystem                  Stopped  OK       

RemoteRegistry                                C:\WINDOWS\system32\svchost.exe -k localService -p                                                                                                                                                                                                                                                                                                                                                                          Disabled   NT AUTHORITY\LocalService    Stopped  OK       

