=== Running Processes ===
Collection Time: 2025-05-21 17:07:32

PID        CPU %      Memory %   Name                           Username             Created                   Connections
----------------------------------------------------------------------------------------------------
0          0.0        0.0        System Idle Process            NT AUTHORITY\SYSTEM  N/A                       2
4          0.0        0.0        System                         NT AUTHORITY\SYSTEM  N/A                       7
6644       0.0        0.1        WidgetService.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
6672       0.0        0.4        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:46       10
6820       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:52       0
6880       0.0        0.1        RiotClientCrashHandler.exe     LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:36       0
6924       0.0        0.4        powershell.exe                 LAPTOP-RUPESH\Rupesh 2025-05-21 16:12:16       0
6952       0.0        3.3        python.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:43       2
7224       0.0        0.0        rundll32.exe                   N/A                  2025-05-21 14:36:52       0
7708       0.0        0.2        nvcontainer.exe                LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:53       1
7784       0.0        0.1        python.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:42       4
8120       0.0        0.3        sihost.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
8136       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:54       0
8172       0.0        0.3        ShellHost.exe                  LAPTOP-RUPESH\Rupesh 2025-05-21 16:15:03       0
8256       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:54       0
8372       0.0        0.3        RuntimeBroker.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
8380       0.0        0.1        taskhostw.exe                  LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
8392       0.0        0.7        QtWebEngineProcess.exe         LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:49       0
8464       0.0        0.0        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 16:12:16       0
8468       0.0        2.2        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:19       0
8652       0.0        0.1        AggregatorHost.exe             N/A                  2025-05-21 14:36:54       0
8704       0.0        0.1        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:51       0
8708       0.0        0.6        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:22       0
8740       0.0        1.6        explorer.exe                   LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:54       0
8764       0.0        0.0        DSRHost.exe                    N/A                  2025-05-21 14:36:54       0
8784       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:54       2
8940       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:54       0
9004       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:54       0
9204       0.0        0.0        Video.UI.exe                   LAPTOP-RUPESH\Rupesh 2025-05-21 15:23:22       0
9264       0.0        0.1        QSHelper.exe                   LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:04       0
9472       0.0        0.5        QtWebEngineProcess.exe         LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:49       0
9512       0.0        0.1        unsecapp.exe                   N/A                  2025-05-21 14:37:03       0
9660       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:55       0
9756       0.0        0.0        Locator.exe                    N/A                  2025-05-21 14:42:05       0
9792       0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:55       0
9864       0.0        0.1        TiWorker.exe                   N/A                  2025-05-21 17:07:04       0
9968       0.0        0.0        NgcIso.exe                     N/A                  2025-05-21 14:36:55       0
9996       0.0        0.6        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 16:11:45       0
10004      0.0        0.0        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 15:48:01       0
10120      0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:37:06       0
10212      0.0        0.3        powershell.exe                 LAPTOP-RUPESH\Rupesh 2025-05-21 15:48:01       0
10260      0.0        0.2        svchost.exe                    N/A                  2025-05-21 14:36:56       0
10300      0.0        0.1        UserOOBEBroker.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
10308      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:36:56       0
10348      0.0        0.4        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:49       0
10352      0.0        0.7        StartMenuExperienceHost.exe    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
10360      0.0        0.1        svchost.exe                    N/A                  2025-05-21 16:39:56       0
10444      0.0        0.7        SearchHost.exe                 LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
10540      0.0        0.1        msiexec.exe                    N/A                  2025-05-21 17:07:06       0
10716      0.0        0.3        Widgets.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
10768      0.0        0.9        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:46       0
11032      0.0        0.3        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:19       1
11072      0.0        0.3        RuntimeBroker.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:57       0
11076      0.0        0.0        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:42       0
11124      0.0        0.2        WmiPrvSE.exe                   N/A                  2025-05-21 17:07:03       0
11276      0.0        0.1        msedgewebview2.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:59       0
11288      0.0        0.2        ctfmon.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:59       0
11408      0.0        0.1        WsToastNotification.exe        LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:51       1
11412      0.0        0.6        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 16:11:45       0
12016      0.0        0.6        msedgewebview2.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:58       0
12112      0.0        0.3        msedgewebview2.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:59       0
12152      0.0        0.2        msedgewebview2.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:59       0
12172      0.0        0.1        msedgewebview2.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:58       0
12464      0.0        0.1        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:52       0
12504      0.0        0.1        backgroundTaskHost.exe         LAPTOP-RUPESH\Rupesh 2025-05-21 17:06:50       0
12540      0.0        0.1        FnHotkeyCapsLKNumLK.exe        LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:00       0
12588      0.0        0.5        msedgewebview2.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 14:36:59       0
12844      0.0        0.1        unsecapp.exe                   LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:00       0
12900      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:37:02       0
13040      0.0        4.1        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 16:21:01       0
13156      0.0        0.1        SearchIndexer.exe              N/A                  2025-05-21 14:37:00       0
13212      0.0        0.1        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:00       0
13272      0.0        0.1        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:46       0
13416      0.0        1.0        PhoneExperienceHost.exe        LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:04       0
13460      0.0        0.7        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 16:11:45       0
13476      0.0        0.1        LenovoVantage-(LenovoGamingSys N/A                  2025-05-21 14:37:02       0
13496      0.0        0.1        unsecapp.exe                   LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:02       0
13596      0.0        0.0        NVIDIA Web Helper.exe          LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:01       2
13624      0.0        0.0        LenovoVantage-(VantageCoreAddi N/A                  2025-05-21 14:37:01       0
13632      0.0        0.0        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:01       0
14292      0.0        0.1        NisSrv.exe                     N/A                  2025-05-21 14:37:02       0
14356      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:37:12       0
14836      0.0        0.1        SecurityHealthSystray.exe      LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:09       0
14856      0.0        0.1        SecurityHealthService.exe      N/A                  2025-05-21 14:37:09       0
14888      0.0        0.1        WmiApSrv.exe                   N/A                  2025-05-21 14:42:06       0
14924      0.0        0.1        RtkAudUService64.exe           LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:09       0
15072      0.0        0.6        Honeygain.exe                  LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:10       6
15080      0.0        1.9        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:44       2
15184      0.0        0.1        CastSrv.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:37:12       0
15212      0.0        0.6        QtWebEngineProcess.exe         LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:49       0
15312      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:37:12       8
15780      0.0        0.1        svchost.exe                    N/A                  2025-05-21 17:05:30       0
16756      0.0        0.1        RuntimeBroker.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 14:38:03       0
16928      0.0        0.2        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:52       0
16936      0.0        0.6        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:22       0
16976      0.0        0.1        RuntimeBroker.exe              LAPTOP-RUPESH\Rupesh 2025-05-21 14:43:58       0
17056      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:38:04       0
17140      0.0        0.1        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:46       0
17184      0.0        0.7        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:19       0
17560      0.0        0.1        python.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 17:01:43       1
17600      0.0        1.1        Code.exe                       LAPTOP-RUPESH\Rupesh 2025-05-21 15:36:22       1
18056      0.0        0.1        TrustedInstaller.exe           N/A                  2025-05-21 17:07:04       0
18340      0.0        0.1        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:38:46       0
18388      0.0        0.4        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:48       0
18396      0.0        0.0        SystemSettings.exe             LAPTOP-RUPESH\Rupesh 2025-05-21 15:25:22       0
18476      0.0        0.4        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 15:41:50       0
18648      0.0        0.0        svchost.exe                    N/A                  2025-05-21 15:28:32       0
18700      0.0        0.1        dllhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:38:54       0
18760      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:38:50       0
18864      0.0        0.1        svchost.exe                    N/A                  2025-05-21 17:04:03       0
19124      0.0        0.4        chrome.exe                     LAPTOP-RUPESH\Rupesh 2025-05-21 16:21:05       0
19208      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:38:54       0
19232      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:38:54       0
19280      0.0        0.1        svchost.exe                    N/A                  2025-05-21 14:38:55       0
19348      0.0        0.1        svchost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 14:38:54       0
19360      0.0        0.0        conhost.exe                    LAPTOP-RUPESH\Rupesh 2025-05-21 15:48:02       0
